year,return
1970,2.10%
1971,29.40%
1972,24.40%
1973,-13.20%
1974,-30.40%
1975,46.20%
1976,25.70%
1977,24.90%
1978,26.00%
1979,21.20%
1980,30.50%
1981,5.60%
1982,8.70%
1983,32.80%
1984,7.30%
1985,41.90%
1986,30.60%
1987,15.80%
1988,27.80%
1989,24.60%
1990,-16.20%
1991,24.60%
1992,2.70%
1993,30.40%
1994,3.50%
1995,16.30%
1996,14.60%
1997,6.10%
1998,5.30%
1999,22.00%
2000,-1.60%
2001,-1.80%
2002,-8.10%
2003,48.90%
2004,25.20%
2005,14.60%
2006,25.70%
2007,3.50%
2008,-41.20%
2009,39.40%
2010,21.30%
2011,-9.00%
2012,19.40%
2013,25.30%
2014,3.50%
2015,-2.20%
2016,13.30%
2017,20.80%
2018,-13.50%
2019,22.30%
2020,5.30%
2021,23.90%
2022,-15.04%
2023,16.15%
2024,8.67%
2025,22.01%
